Country,Iso code,Age group,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction
Central African Republic,CAF,n_age_0_916,Mambere_Kadei,raw cases,4,9386.956215,512.8520315,590.2763376,32.24947597,1077.700086,43.11487733,67.76859775,2.711176158,8309.256129,469.7371541,522.5077399,29.53829981,11.48082575,8.406884382
Central African Republic,CAF,n_age_0_916,Nana_Mambere,raw cases,4,6830.037025,374.3515333,616.2250953,33.7750452,952.8588246,40.97860441,85.96959545,3.697204614,5877.178201,333.3729289,530.2554998,30.07784059,13.95100526,10.94655712
Central African Republic,CAF,n_age_0_916,Sangha_Mbaere,raw cases,4,2778.039518,140.7819459,599.9399574,30.40299249,315.5094133,9.65682475,68.13679313,2.085468904,2462.530105,131.1251211,531.8031643,28.31752359,11.35726872,6.859419856
Central African Republic,CAF,n_age_0_916,Bamingui_Bangoran,raw cases,4,326.8704241,25.31444279,114.6952467,8.882560331,21.37186441,1.68752462,7.499152816,0.592133881,305.4985597,23.62691817,107.1960939,8.29042645,6.538329206,6.666252281
Central African Republic,CAF,n_age_0_916,Bangui,raw cases,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,n_age_0_916,Basse_Kotto,raw cases,4,8583.861987,395.3832964,728.0443513,33.53462298,767.8602361,26.27170938,65.1264324,2.22824757,7816.001751,369.111587,662.9179189,31.30637541,8.945393545,6.644617924
Central African Republic,CAF,n_age_0_916,Haut_Mbomou,raw cases,4,938.2868017,60.52451458,297.5497359,19.1935486,87.42126972,5.101616226,27.72305405,1.617825763,850.865532,55.42289835,269.8266818,17.57572283,9.317116,8.429008084
Central African Republic,CAF,n_age_0_916,Haute_Kotto,raw cases,4,1330.997007,89.29653056,248.4618595,16.66929521,143.8076639,10.08386321,26.84507885,1.882389961,1187.189343,79.21266735,221.6167807,14.78690525,10.80450694,11.29255878
Central African Republic,CAF,n_age_0_916,Kemo,raw cases,4,4706.005676,207.2993075,901.7744911,39.72311985,729.8859046,22.85590643,139.8622389,4.379695821,3976.119771,184.443401,761.9122522,35.34342403,15.50966902,11.02555851
Central African Republic,CAF,n_age_0_916,Lobaye,raw cases,4,5178.194142,295.8771243,473.5321514,27.05718004,453.871995,20.67490931,41.50539287,1.890665745,4724.322147,275.202215,432.0267585,25.1665143,8.765063311,6.987667385
Central African Republic,CAF,n_age_0_916,Mbomou,raw cases,4,5002.189424,235.3015026,716.4543345,33.70179878,772.8151433,25.85669333,110.6888829,3.703406337,4229.37428,209.4448092,605.7654516,29.99839244,15.44953775,10.98874977
Central African Republic,CAF,n_age_0_916,Nana_Grebizi,raw cases,4,2639.981744,151.9523233,497.4045106,28.6296567,483.3170841,23.90690031,91.06278794,4.50434935,2156.66466,128.045423,406.3417227,24.12530735,18.30759191,15.73315879
Central African Republic,CAF,n_age_0_916,Ombella_M'Poko,raw cases,4,5620.172932,314.8540983,512.1123464,28.68962807,13.97726897,14.44260848,1.273614192,1.31601611,5606.195663,300.4114899,510.8387323,27.37361196,0.248698201,4.587079716
Central African Republic,CAF,n_age_0_916,Ouaka,raw cases,4,6413.04788,352.7644115,493.3917178,27.14014338,1173.453579,55.98289853,90.28036088,4.307078161,5239.594301,296.781513,403.1113569,22.83306522,18.29790765,15.86976937
Central African Republic,CAF,n_age_0_916,Ouham,raw cases,4,3872.477217,266.9034019,213.6068343,14.72245995,685.65434,44.94657956,37.82086885,2.47926483,3186.822877,221.9568223,175.7859654,12.24319512,17.70583277,16.84001749
Central African Republic,CAF,n_age_0_916,Ouham_Pende,raw cases,4,6254.857132,406.7434948,294.3639066,19.14202061,786.6611988,38.12328239,37.0215752,1.794144631,5468.195933,368.6202124,257.3423314,17.34787598,12.57680523,9.372806911
Central African Republic,CAF,n_age_0_916,Vakaga,raw cases,4,227.4745109,19.71068328,62.55803469,5.420658358,11.10919331,0.878845669,3.055152411,0.241692388,216.3653176,18.83183761,59.50288228,5.178965969,4.883709065,4.458727564
